mesures,resists
1,388.0
2,388.0
3,388.1
4,388.9
5,387.3
6,390.2
7,387.8
8,389.5
9,389.6
10,388.8
11,388.1
12,388.8
13,389.4
14,389.4
15,389.0
16,387.9
17,388.6
18,387.7
19,387.5
20,388.3
21,388.3
22,388.6
23,388.2
24,387.5
25,389.4
26,387.5
27,389.1
28,388.6
29,389.3
30,388.1
31,388.4
